merimee, osmtype, idOSM, osmUrl, wikidataUrl, desc
PA00103673,way,244353025,https://www.openstreetmap.org/way/244353025,https://www.wikidata.org/wiki/Q22954107,porte nord
PA00103673,way,244353029,https://www.openstreetmap.org/way/244353029,,porte sud
PA00102859,node,1736041575,https://www.openstreetmap.org/node/1736041575,https://www.wikidata.org/wiki/Q22953499,Église rurale de Saint-André
PA00102859,node,2013487161,https://www.openstreetmap.org/node/2013487161,,Église rurale de Saint-André (ancienne)
PA64000047,way,169353396,https://www.openstreetmap.org/way/169353396,,Moulin de Gramont
PA64000047,way,187144255,https://www.openstreetmap.org/way/187144255,,Pont de Gramont
PA64000047,way,538588208,https://www.openstreetmap.org/way/538588208,,...
PA00110700,way,124979105,https://www.openstreetmap.org/way/124979105,https://www.wikidata.org/wiki/Q22963475,...
PA00110700,way,124979956,https://www.openstreetmap.org/way/124979956,https://www.wikidata.org/wiki/Q22963475,...
PA00086085,node,685907579,https://www.openstreetmap.org/node/685907579,https://www.wikidata.org/wiki/Q945229,Quatre-Septembre - sortie
PA00086085,node,5312374429,https://www.openstreetmap.org/node/5312374429,,...
PA00081940,way,83749210,https://www.openstreetmap.org/way/83749210,https://www.wikidata.org/wiki/Q17635838,Chapelle Saint-Louis
PA00081940,way,83756563,https://www.openstreetmap.org/way/83756563,https://www.wikidata.org/wiki/Q17635838,...
PA00081940,way,83782447,https://www.openstreetmap.org/way/83782447,https://www.wikidata.org/wiki/Q17635838,Hôtel Cloître Saint-Louis
PA00103360,way,240191821,https://www.openstreetmap.org/way/240191821,https://www.wikidata.org/wiki/Q2968149,Château d'Assas
PA00103360,way,240192107,https://www.openstreetmap.org/way/240192107,,Remparts
PA76000020,node,1846760789,https://www.openstreetmap.org/node/1846760789,https://www.wikidata.org/wiki/Q22980357,Grues hydrauliques
PA76000020,node,4546873104,https://www.openstreetmap.org/node/4546873104,,Grues hydrauliques
PA00087056,node,4299633090,https://www.openstreetmap.org/node/4299633090,,Église
PA00087056,way,341711107,https://www.openstreetmap.org/way/341711107,https://www.wikidata.org/wiki/Q22922863,Église Saint-Laurent
PA00085986,node,5312369220,https://www.openstreetmap.org/node/5312369220,,...
PA00085986,way,20326709,https://www.openstreetmap.org/way/20326709,https://www.wikidata.org/wiki/Q1431547,Tour Saint-Jacques
PA00101383,way,64214029,https://www.openstreetmap.org/way/64214029,https://www.wikidata.org/wiki/Q22952798,...
PA00101383,relation,7541984,https://www.openstreetmap.org/relation/7541984,https://www.wikidata.org/wiki/Q22952798,...
PA00109812,way,25048982,https://www.openstreetmap.org/way/25048982,https://www.wikidata.org/wiki/Q22962574,Escalier de la Grande Poterne
PA00109812,way,79821323,https://www.openstreetmap.org/way/79821323,,Escalier de la Grande Poterne
PA00109812,way,79821324,https://www.openstreetmap.org/way/79821324,,Escalier de la Grande Poterne
PA00087929,way,22899704,https://www.openstreetmap.org/way/22899704,https://www.wikidata.org/wiki/Q3397360,Pont des Belles Fontaines
PA00087929,way,22915349,https://www.openstreetmap.org/way/22915349,,Pont des Belles Fontaines
PA00087929,way,41749162,https://www.openstreetmap.org/way/41749162,,Pont des Belles Fontaines
PA00087929,way,44129989,https://www.openstreetmap.org/way/44129989,,Pont des Belles Fontaines
PA00087929,way,219640831,https://www.openstreetmap.org/way/219640831,,Pont des Belles Fontaines
PA00085828,relation,542282,https://www.openstreetmap.org/relation/542282,https://www.wikidata.org/wiki/Q22920977,Ancien hôtel de Latour-Maubourg
PA00085828,relation,542284,https://www.openstreetmap.org/relation/542284,https://www.wikidata.org/wiki/Q22920977,Ancien hôtel de Latour-Maubourg
PA00094497,way,10157283,https://www.openstreetmap.org/way/10157283,https://www.wikidata.org/wiki/Q2351013,Capitole - Mairie de Toulouse
PA00094497,relation,367073,https://www.openstreetmap.org/relation/367073,https://www.wikidata.org/wiki/Q2351013,Le Capitole
PA51000008,way,238184364,https://www.openstreetmap.org/way/238184364,https://www.wikidata.org/wiki/Q17402090,...
PA51000008,way,238184367,https://www.openstreetmap.org/way/238184367,,...
